film_id,title,year,genre,w01,w02,w03,w04,w05,w06,w07,w08,w09,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,decade,primary_genre,arch_0_weight,arch_1_weight,arch_2_weight,arch_3_weight,arch_4_weight,arch_5_weight,dominant_archetype
tt0116483,Happy Gilmore,1996,Comedy,0.792217,-0.557295,-1.074129,-0.183522,-0.169689,-0.155316,0.798357,-1.137133,-0.287957,0.795567,-0.175889,1.736666,-0.167252,-0.203977,-2.108098,-0.171012,-0.157462,1.776224,1.77304,-1.123338,1990s,Comedy,0.20952880705771365,0.3298202885583954,0.1204713770338833,0.00012906026228407902,0.09277889640962013,0.24727157067810338,1
tt0097481,Harlem Nights,1989,Comedy|Crime|Drama,0.625381,-0.182746,-1.772256,1.446752,0.799463,0.648176,-0.985306,0.604527,0.490289,-1.767784,-0.132963,0.6357,-0.176384,-1.706944,-0.161272,-0.156056,-0.160363,-0.155698,-0.14894,2.256426,1980s,Comedy,0.0,0.1693041909860691,0.36977097468460424,0.21354869715248334,0.22991634537377317,0.01745979180307026,2
tt4648786,Harriet,2019,Drama|History,0.698837,-1.33715,0.693226,0.650346,0.695133,-0.30562,-0.32896,0.818269,0.672511,-1.337329,-1.374837,1.659619,0.694056,0.696866,0.810834,0.650207,-1.329715,-0.273435,-2.143436,-0.309421,2010s,Drama,0.4764917786389869,0.0,0.0,0.3616718597836554,0.1618363615773578,0.0,0
tt0295297,Harry Potter And The Chamber Of Secrets,2002,Adventure|Fantasy,0.254062,1.484721,0.681443,-0.632862,-1.506643,-1.069156,-0.196233,-0.709983,-0.197642,-0.522833,-1.06338,-0.706555,-1.092039,-0.227172,-0.106833,0.234151,0.282967,1.528936,1.117239,2.447811,2000s,Adventure,0.0,0.0,0.31670633590241487,0.0,0.0,0.6832936640975851,5
tt0926084,Harry Potter And The Deathly Hallows Part 1,2010,Adventure|Fantasy,0.533644,-0.057596,-0.731027,-1.581204,-0.856351,2.187316,0.034777,-1.569204,-0.868181,-0.820948,0.644388,-0.169646,-1.635958,0.708992,0.495437,0.526368,0.674074,1.440724,0.675979,0.368417,2010s,Adventure,0.2774128278899773,0.0,0.3662088035262685,0.0,0.11514278967475325,0.24123557890900102,2
tt1201607,Harry Potter And The Deathly Hallows Part 2,2011,Adventure|Fantasy,-0.87864,-0.862572,-0.193896,-0.191037,1.196257,0.362294,-0.759613,-0.753823,-0.861842,0.472216,0.745217,0.473937,1.789594,-1.579934,-0.763252,-0.835539,-0.122283,-0.793882,1.835302,1.721495,2010s,Adventure,0.0,0.28911648065629425,0.05027439848321106,0.07267178033571883,0.587937340524776,0.0,4
tt0330373,Harry Potter And The Goblet Of Fire,2005,Adventure|Fantasy,1.344414,1.35493,0.448039,0.391899,-0.49693,-0.143695,-0.965885,-0.032424,-0.530892,-2.354756,-1.422602,-0.960648,0.872441,0.428025,0.402284,0.46146,1.35001,0.386279,0.873126,-1.405074,2000s,Adventure,0.340198129356534,0.0,0.0,0.36269375204982984,0.0,0.2971081185936362,3
tt0417741,Harry Potter And The Half Blood Prince,2009,Adventure|Fantasy,0.381095,0.962414,-0.165673,0.415836,-0.170313,1.50827,-0.21366,-1.39698,0.318909,0.355641,-0.19951,-1.428124,-2.463608,-0.75131,0.325203,2.114657,0.463276,0.247709,-0.693231,0.3894,2000s,Adventure,0.263515800334946,0.0,0.4568292651594634,0.27965493450559065,0.0,0.0,2
tt0304141,Harry Potter And The Prisoner Of Azkaban,2004,Adventure|Fantasy,0.542512,-0.840201,-0.163743,1.215599,-0.15942,1.339839,1.208854,0.537012,-0.854938,0.494099,-0.171719,-2.948688,-0.690691,-0.869798,-0.200185,-0.092523,-0.806383,0.459891,1.20111,0.799375,2000s,Adventure,0.0,0.12124547448055817,0.6814041954393348,0.197350330080107,0.0,0.0,2
tt0241527,Harry Potter And The Sorcerers Stone,2001,Adventure|Fantasy,-1.267297,-0.789791,-0.304865,-0.231813,-1.245428,0.163382,0.644589,0.125821,0.162709,0.180681,-0.313423,-0.312459,0.120003,-0.803555,-1.729646,-0.305198,0.636069,0.651433,2.065536,2.553253,2000s,Adventure,0.0,0.1692852391833988,0.5082401757868448,0.0,0.3094921273511122,0.012982457678644258,2
tt0113277,Heat,1995,Crime|Drama|Action,-0.050124,-0.620659,-0.058712,0.9552,-0.059236,-0.591492,0.988489,2.006649,0.351678,0.987639,0.987336,0.970085,-0.08241,-1.090055,-1.642771,-1.650795,-1.213065,-1.116443,-0.063036,0.991721,1990s,Crime,0.0,0.9288030945289641,0.03327145206290473,0.0,0.037925453408131186,0.0,1
tt0097493,Heathers,1988,Comedy|Crime,0.873498,-1.113478,0.204997,0.075347,-1.672812,-0.453473,-1.12193,0.870912,1.493207,0.856713,-0.522158,0.115123,-0.464329,-1.122883,-1.127964,-1.136072,0.219287,1.559073,0.990923,1.476019,1980s,Comedy,0.0,0.41879101601507157,0.22633217985817805,0.0,0.0,0.3548768041267505,1
tt0082509,Heavy Metal,1981,Animation|Science Fiction|Adventure|Fantasy|Music,0.267497,-1.086562,-2.422162,-0.165868,-0.568858,-1.080439,-0.620628,0.286703,-0.615396,-0.180441,0.722555,0.285414,1.620923,0.223937,-0.172546,0.635719,-1.057074,0.727421,1.561664,1.638144,1980s,Animation,0.08481335593671463,0.12990963385407264,0.0,0.0,0.546193933437135,0.23908307677207777,4
tt0110006,Heavyweights,1995,Family|Comedy,0.112674,0.047535,1.022292,0.980425,0.040039,-0.77952,-0.791318,-1.645632,-1.590094,-0.80171,-0.671199,0.1175,-0.783529,0.115946,-0.672068,0.117034,1.911687,1.027513,0.100814,2.141613,1990s,Family,0.0,0.0,0.13551043676510946,0.22239164796984764,0.19093559754734563,0.4511623177176973,5
tt2582782,Hell Or High Water,2016,Western|Crime|Drama,0.907281,-1.475228,-0.088044,-1.435964,-1.519286,-0.773915,1.694607,1.743587,0.103718,-0.761302,0.097017,-0.691603,0.180489,0.896382,0.086621,0.893262,0.247452,-1.508327,0.890612,0.512641,2010s,Western,0.494270595893448,0.152950630774814,0.2609246995981826,0.0,0.03011997337993772,0.06173410035361775,0
tt0095294,Hellbound Hellraiser Ii,1988,Horror|Thriller,-0.396706,-0.403717,-0.416401,0.320034,1.539042,1.70701,0.298096,-0.394504,0.964974,-0.25923,-1.796445,-1.114393,-0.277971,-0.392597,0.292026,-1.683184,-1.10633,0.987097,1.693476,0.439724,1980s,Horror,0.0,0.1217523974583349,0.5334670340722639,0.24349735640380044,0.10128321206560062,0.0,2
tt0167190,Hellboy,2004,Fantasy|Action,1.311291,2.148184,0.537272,-1.085169,-0.117474,0.62212,-0.268829,0.519215,0.51289,0.307091,0.628179,1.306605,-1.050976,-2.03599,-1.066592,0.548413,-0.406386,-0.894074,-0.444663,-1.071108,2000s,Fantasy,0.2849980005958153,0.406873307384128,0.0,0.2910561788163801,0.0,0.017072513203676642,1
tt2274648,Hellboy,2019,Fantasy|Horror|Action|Adventure,1.140622,-0.122354,1.13012,1.733557,-0.755414,0.551612,0.344977,-0.747374,-2.064636,-1.377978,-0.741557,1.11441,0.946809,0.4773,-0.85253,-0.752596,0.485722,0.529261,0.323084,-1.363034,2010s,Fantasy,0.19457447248366652,0.0,0.0,0.5509903155909066,0.18182162662582715,0.07261358529959974,3
tt0093177,Hellraiser,1987,Horror|Thriller,0.132604,-0.575675,0.133551,0.138595,-0.562699,-0.569552,0.922047,0.825959,1.549174,1.518306,1.522047,0.805855,-1.247084,-0.555437,0.133242,0.823376,-1.269689,-1.967293,-1.181538,-0.575789,1980s,Horror,0.42971782990777707,0.5702821700922229,0.0,0.0,0.0,0.0,1
tt0337636,Hellraiser Deader,2005,Horror|Thriller,0.163932,0.638454,0.124676,-0.842929,-1.33521,-0.842456,-0.85961,-0.832108,0.166116,0.153365,0.582125,-0.441986,-0.832232,-1.836977,-0.34501,1.182907,0.169119,1.20754,1.652627,2.127655,2000s,Horror,0.0,0.04230512320902787,0.2766512979028553,0.0,0.0,0.6810435788881168,5
tt0274546,Hellraiser Hellseeker,2002,Horror|Thriller,0.125442,-0.479442,-1.796305,1.541748,1.492791,-0.48254,-1.159216,0.140614,0.145729,-0.428722,-1.825927,0.804447,-0.542809,-0.476639,1.544079,-0.483791,0.198308,-0.452019,1.556241,0.57801,2000s,Horror,0.08645810961820742,0.0,0.2955404530977897,0.25006799677545444,0.3679334405085485,0.0,4
tt1798709,Her,2013,Romance|Science Fiction|Drama,1.022837,1.039555,-0.000932,-2.10165,-2.128773,-0.022048,-0.005053,1.038478,1.042054,-0.015122,-0.011514,1.048356,-0.004832,-1.080556,-1.063111,1.040415,1.044217,-1.058946,-0.04131,0.257934,2010s,Romance,0.41563439061955293,0.2955205998445934,0.0,0.0,0.0,0.2888450095358537,0
tt7784604,Hereditary,2018,Horror|Mystery|Thriller,0.403817,0.105029,-0.974734,-1.452777,-0.570759,-0.875059,-0.007288,0.951174,-0.483864,0.980205,2.920508,0.9753,-0.534495,-0.975277,-0.479984,0.106549,-0.476803,-0.528078,1.377135,-0.460599,2010s,Horror,0.2989323639693848,0.5092996743290705,0.0,0.0,0.0,0.19176796170154473,1
tt4846340,Hidden Figures,2016,Drama|History,-0.037308,-0.153627,-0.65593,-2.02566,-2.072186,1.107689,0.749223,-0.745955,-1.408478,-0.068511,0.567233,1.259448,-0.080966,-0.757873,1.228845,0.591962,0.594977,-0.074392,1.25736,0.724148,2010s,Drama,0.34595937841569874,0.0,0.12172834662811655,0.0,0.25318927553946385,0.2791229994167208,0
